path	date	wc	source_type	rollup_p_f_b_s	n_explicit	n_suffix	n_inline	tc_refs
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/group-l-playwright-l01-l04-2026-08-21/report.md	2026-08-21	0	manual	0/0/4/0	4	0	5	AUTH-TC-L01,AUTH-TC-L02,AUTH-TC-L03,AUTH-TC-L04,TC-L01,TC-L02,TC-L03,TC-L04
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/group-l-reverify-l01-l04-2026-08-21/report.md	2026-08-21	0	manual	4/0/0/0	0	4	0	AUTH-TC-L01,TC-L01
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/group-m-discover-2026-08-22/report.md	2026-08-22	0	manual	10/0/0/0	10	0	10	AUTH-TC-M01,AUTH-TC-M02,AUTH-TC-M03,AUTH-TC-M04,AUTH-TC-M05,AUTH-TC-M06,AUTH-TC-M07,AUTH-TC-M08,AUTH-TC-M09,AUTH-TC-M10,TC-M01,TC-M02,TC-M03,TC-M04,TC-M05,TC-M06,TC-M07,TC-M08,TC-M09,TC-M10
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/group-n-discovery-category-favorites-2026-08-22/report.md	2026-08-22	0	manual	4/0/0/0	4	0	5	AUTH-TC-N01,AUTH-TC-N02,AUTH-TC-N03,AUTH-TC-N04,AUTH-TC-O01,TC-N01,TC-N02,TC-N03,TC-N04,TC-O01
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/group-o-closeout-o03-o01-2026-08-22/report.md	2026-08-22	0	manual	2/0/0/0	2	0	2	AUTH-TC-O01,AUTH-TC-O03,TC-O01,TC-O03
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/group-o-node-scope-2026-08-22/report.md	2026-08-22	0	manual	5/0/0/0	5	0	5	AUTH-TC-O01,AUTH-TC-O02,AUTH-TC-O03,AUTH-TC-O04,AUTH-TC-O05,TC-O01,TC-O02,TC-O03,TC-O04,TC-O05
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/group-p-full-run-19-cases-2026-08-23/report.md	2026-08-23	0	manual		19	0	19	AUTH-TC-P01,AUTH-TC-P02,AUTH-TC-P03,AUTH-TC-P04,AUTH-TC-P05,AUTH-TC-P06,AUTH-TC-P07,AUTH-TC-P08,AUTH-TC-P09,AUTH-TC-P10,AUTH-TC-P11,AUTH-TC-P12,AUTH-TC-P13,AUTH-TC-P14,AUTH-TC-P15,AUTH-TC-P16,AUTH-TC-P17,AUTH-TC-P18,AUTH-TC-P19,TC-P01,TC-P02,TC-P03,TC-P04,TC-P05,TC-P06,TC-P07,TC-P08,TC-P09,TC-P10,TC-P11,TC-P12,TC-P13,TC-P14,TC-P15,TC-P16,TC-P17,TC-P18,TC-P19
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/group-p-reverify-appheader-composer-2026-08-23/report.md	2026-08-23	0	manual	3/0/0/0	0	0	0	
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/group-qs-calibration-2026-08-23/report.md	2026-08-23	0	manual		18	4	0	AUTH-TC-Q01,AUTH-TC-Q02,AUTH-TC-Q03,AUTH-TC-Q04,AUTH-TC-Q05,AUTH-TC-Q06,AUTH-TC-Q07,AUTH-TC-S01,AUTH-TC-S02,AUTH-TC-S03,AUTH-TC-S04,AUTH-TC-S05,AUTH-TC-S06,AUTH-TC-S07,AUTH-TC-S08,AUTH-TC-S09,AUTH-TC-S10,AUTH-TC-S11,TC-Q01,TC-Q02,TC-Q03,TC-Q04,TC-Q05,TC-Q06,TC-Q07,TC-S01,TC-S02,TC-S03,TC-S04,TC-S05,TC-S06,TC-S07,TC-S08,TC-S09,TC-S10,TC-S11
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/group-qs-fix-verify-2026-08-23/report.md	2026-08-23	0	manual		0	0	0	
