path	date	source_type	tc_id	verdict
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	REG-R07	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	REG-R08	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-A01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-A02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-A03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-A04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-B01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-B02	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-B03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-B04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-B05	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-B06	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-C01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-C02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-C03	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-C04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-C05	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-C06	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-C07	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-C08	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-D01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-D02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-D03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-D04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-D05	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-E01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-E02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-E03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-E04	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-F01	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-F02	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-F03	FAIL
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-G01	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-G02	SKIPPED
test-automation/trade-flow-v2/reports/2026-06-02T10-47-07-787Z/report.md	2026-06-02	automated	TC-G03	SKIPPED
