path	date	wc	source_type	src_kind	rollup_p_f_b_s	n_explicit	n_suffix	n_inline	tc_refs
e2e-test-results/group-qs-calibration-2026-08-23/report.md	2026-08-23	0	manual	report.md		18	4	0	AUTH-TC-Q01,AUTH-TC-Q02,AUTH-TC-Q03,AUTH-TC-Q04,AUTH-TC-Q05,AUTH-TC-Q06,AUTH-TC-Q07,AUTH-TC-S01,AUTH-TC-S02,AUTH-TC-S03,AUTH-TC-S04,AUTH-TC-S05,AUTH-TC-S06,AUTH-TC-S07,AUTH-TC-S08,AUTH-TC-S09,AUTH-TC-S10,AUTH-TC-S11,TC-Q01,TC-Q02,TC-Q03,TC-Q04,TC-Q05,TC-Q06,TC-Q07,TC-S01,TC-S02,TC-S03,TC-S04,TC-S05,TC-S06,TC-S07,TC-S08,TC-S09,TC-S10,TC-S11
e2e-test-results/group-qs-fix-verify-2026-08-23/report.md	2026-08-23	0	manual	report.md		0	0	0	
e2e-test-results/itemcreate-scroll-investigation-2026-08-17/report.md	2026-08-17	0	manual	report.md		0	0	0	
e2e-test-results/phase14-auth-pw-recovery-2026-08-16/report.md	2026-08-16	0	manual	report.md	3/0/5/0	8	0	8	AUTH-TC-S01,AUTH-TC-S02,AUTH-TC-S03,AUTH-TC-S04,AUTH-TC-S05,AUTH-TC-S07,AUTH-TC-S08,AUTH-TC-S10,TC-S01,TC-S02,TC-S03,TC-S04,TC-S05,TC-S07,TC-S08,TC-S10
e2e-test-results/phase15-auth-group-s-reverify-2026-08-16/report.md	2026-08-16	0	manual	report.md	4/0/1/0	5	0	5	AUTH-TC-S07,AUTH-TC-S08,AUTH-TC-S09,AUTH-TC-S10,AUTH-TC-S11,TC-S07,TC-S08,TC-S09,TC-S10,TC-S11
e2e-test-results/phase16-auth-group-s-closeout-2026-08-16/report.md	2026-08-16	0	manual	report.md	2/0/0/0	2	1	2	AUTH-TC-S08,AUTH-TC-S11,TC-S08,TC-S11
e2e-test-results/phase17-auth-groups-ab-2026-08-16/report.md	2026-08-16	0	manual	report.md	15/0/2/0	17	2	17	AUTH-TC-A01,AUTH-TC-A02,AUTH-TC-A03,AUTH-TC-A04,AUTH-TC-A05,AUTH-TC-A06,AUTH-TC-A07,AUTH-TC-A08,AUTH-TC-B01,AUTH-TC-B02,AUTH-TC-B03,AUTH-TC-B04,AUTH-TC-B05,AUTH-TC-B06,AUTH-TC-B07,AUTH-TC-B08,AUTH-TC-B09,AUTH-TC-B10,TC-A01,TC-A02,TC-A03,TC-A04,TC-A05,TC-A06,TC-A07,TC-A08,TC-B01,TC-B02,TC-B03,TC-B04,TC-B05,TC-B06,TC-B07,TC-B08,TC-B09,TC-B10
e2e-test-results/phase18-auth-group-c-social-login-2026-08-16/report.md	2026-08-16	0	manual	report.md	0/3/4/0	7	0	7	AUTH-TC-C01,AUTH-TC-C02,AUTH-TC-C03,AUTH-TC-C04,AUTH-TC-C05,AUTH-TC-C06,AUTH-TC-C07,TC-C01,TC-C02,TC-C03,TC-C04,TC-C05,TC-C06,TC-C07
e2e-test-results/phase19-auth-group-c-closeout-2026-08-16/report.md	2026-08-16	0	manual	report.md	1/0/6/0	7	10	8	AUTH-TC-C01,AUTH-TC-C02,AUTH-TC-C03,AUTH-TC-C04,AUTH-TC-C05,AUTH-TC-C06,AUTH-TC-C07,TC-C01,TC-C02,TC-C03,TC-C04,TC-C05,TC-C06,TC-C07
e2e-test-results/phase20-auth-group-c-closure-2026-08-16/report.md	2026-08-16	0	manual	report.md	1/1/1/0	3	0	3	AUTH-TC-C01,AUTH-TC-C02,AUTH-TC-C04,TC-C01,TC-C02,TC-C04
e2e-test-results/phase21-auth-group-c01-google-2026-08-16/report.md	2026-08-16	1238	manual	report.md	1/0/0/0	0	0	1	AUTH-TC-C01,TC-C01
e2e-test-results/phase22-auth-group-b-d-e-2026-08-17/decision-and-outcome-log.md	2026-08-17	0	manual	decision-log	8/0/2/1	0	4	0	
e2e-test-results/phase22-auth-group-b-d-e-2026-08-17/report.md	2026-08-17	0	manual	report.md	8/0/2/1	11	0	14	AUTH-TC-B10,AUTH-TC-B11,AUTH-TC-B12,AUTH-TC-D01,AUTH-TC-D02,AUTH-TC-D03,AUTH-TC-E01,AUTH-TC-E02,AUTH-TC-E03,AUTH-TC-E04,AUTH-TC-E05,TC-B10,TC-B11,TC-B12,TC-D01,TC-D02,TC-D03,TC-E01,TC-E02,TC-E03,TC-E04,TC-E05
e2e-test-results/phase23-auth-group-f-h-i-e05-2026-08-17/report.md	2026-08-17	0	manual	report.md	9/1/7/0	0	18	0	AUTH-TC-E05,TC-E05
e2e-test-results/phase23-wrapup-f06-reverify-f07-h03-2026-08-18/decision-outcome-log.md	2026-08-18	0	manual	decision-log		0	6	0	AUTH-TC-F06,AUTH-TC-F07,TC-F06,TC-F07
e2e-test-results/phase23-wrapup-f06-reverify-f07-h03-2026-08-18/report.md	2026-08-18	0	manual	report.md		3	0	3	AUTH-TC-F06,AUTH-TC-F07,AUTH-TC-H03,AUTH-TC-S03,TC-F06,TC-F07,TC-H03,TC-S03
e2e-test-results/phase24-f06-reverify-discover-audit-2026-08-17/report.md	2026-08-17	0	manual	report.md		0	1	0	AUTH-TC-F06,TC-F06
e2e-test-results/phase25-auth-group-k-bulk-2026-08-19/decision-outcome-log.md	2026-08-19	0	manual	decision-log		0	0	0	AUTH-TC-K0,AUTH-TC-K01,TC-K0,TC-K01
e2e-test-results/phase25-auth-group-k-bulk-2026-08-19/report.md	2026-08-19	0	manual	report.md		6	0	6	AUTH-TC-K01,AUTH-TC-K02,AUTH-TC-K03,AUTH-TC-K04,AUTH-TC-K05,AUTH-TC-K06,TC-K01,TC-K02,TC-K03,TC-K04,TC-K05,TC-K06
e2e-test-results/phase26-bulk-four-fixes-verify-2026-08-20/decision-outcome-log.md	2026-08-20	0	manual	decision-log		0	0	0	
e2e-test-results/phase26-bulk-four-fixes-verify-2026-08-20/report.md	2026-08-20	0	manual	report.md		0	1	0	AUTH-TC-K01,TC-K01
e2e-test-results/phase27-groupk-ax-reverify-2026-08-20/report.md	2026-08-20	0	manual	report.md	4/0/0/0	0	3	0	AUTH-TC-K01,TC-K01
e2e-test-results/qa-combined-verify-e05-c04-f06-2026-08-18/report.md	2026-08-18	0	manual	report.md	1/1/1/0	2	1	0	AUTH-TC-C04,AUTH-TC-E05,AUTH-TC-F06,AUTH-TC-H06,TC-C04,TC-E05,TC-F06,TC-H06
e2e-test-results/qa-final-verify-e05-c04-2026-08-19/report.md	2026-08-19	0	manual	report.md	2/0/0/0	1	1	1	AUTH-TC-C04,AUTH-TC-E05,TC-C04,TC-E05
e2e-test-results/qa-msg-first-live-2026-09-03/decision-outcome-log.md	2026-09-03	0	manual	decision-log		0	43	0	
e2e-test-results/qa-msg-first-live-2026-09-03/report.md	2026-09-03	0	manual	report.md	23/0/1/0	0	0	27	MSG-TC-A01,MSG-TC-A02,MSG-TC-A03,MSG-TC-A08,MSG-TC-A09,MSG-TC-B01,MSG-TC-B02,MSG-TC-B03,MSG-TC-B05,MSG-TC-C01,MSG-TC-C02,MSG-TC-C03,MSG-TC-C04,MSG-TC-C05,MSG-TC-C06,MSG-TC-F01,MSG-TC-F02,MSG-TC-F03,MSG-TC-F04,MSG-TC-F05,MSG-TC-I03,MSG-TC-I04,MSG-TC-I05,MSG-TC-J01,MSG-TC-J02,MSG-TC-J03,MSG-TC-J04,MSG-TC-J05,TC-A01,TC-A02,TC-A03,TC-A08,TC-A09,TC-B01,TC-B02,TC-B03,TC-B05,TC-C01,TC-C02,TC-C03,TC-C04,TC-C05,TC-C06,TC-F01,TC-F02,TC-F03,TC-F04,TC-F05,TC-I03,TC-I04,TC-I05,TC-J01,TC-J02,TC-J03,TC-J04,TC-J05
e2e-test-results/qa-task10-dt66-fix-verify-tr-d-2026-08-30/decision-outcome-log.md	2026-08-30	0	manual	decision-log		0	0	0	
e2e-test-results/qa-task10-dt66-fix-verify-tr-d-2026-08-30/report.md	2026-08-30	0	manual	report.md		0	0	0	
